title,district,area,direction,price,types
整租·清凉盛景 5室3厅 复式 东/东南/西/北,延庆其它,297.95,东 东南 西 北,9900,5室3厅3卫
整租·龙聚山庄 1室0厅 南,延庆其它,50.0,南,500,1室0厅1卫
整租·城建万科城 2室1厅 南/北,延庆其它,75.35,南 北,1800,2室1厅1卫
整租·城建万科城 2室1厅 南/北,延庆其它,75.35,南 北,1400,2室1厅1卫
整租·城建万科城 2室1厅 南/北,延庆其它,76.0,南 北,2000,2室1厅1卫
整租·城建万科城 3室1厅 南/北,延庆其它,89.91,南 北,1700,3室1厅1卫
整租·高塔小区 3室1厅 南/北,延庆其它,93.2,南 北,1700,3室1厅1卫
整租·城建万科城 1室1厅 南,延庆其它,70.22,南,1600,1室1厅1卫
整租·城建万科城 3室2厅 南,延庆其它,91.96,南,1600,3室2厅1卫
整租·城建万科城 2室1厅 南/北,延庆其它,74.72,南 北,1800,2室1厅1卫
整租·城建万科城 2室1厅 南/北,延庆其它,74.42,南 北,1800,2室1厅1卫
整租·城建万科城 2室1厅 南/北,延庆其它,74.0,南 北,1800,2室1厅1卫
整租·城建万科城 3室1厅 南/北,延庆其它,80.53,南 北,1500,3室1厅1卫
整租·京溪小区 2室2厅 南/北,溪翁庄镇,82.78,南 北,1000,2室2厅1卫
整租·龙湖长城源著2号院 2室1厅 南/北,古北口镇,63.59,南 北,1200,2室1厅1卫
整租·檀城西区 2室2厅 南/北,鼓楼街道,91.51,南 北,2100,2室2厅1卫
整租·海怡庄园东区 2室2厅 东/西,密云镇,91.19,东 西,2300,2室2厅1卫
整租·保利花园C区 2室1厅 南/北,鼓楼街道,90.0,南 北,1900,2室1厅2卫
整租·宾阳里小区 2室1厅 南/北,鼓楼街道,90.26,南 北,1900,2室1厅1卫
整租·檀城东区 3室2厅 南/北,鼓楼街道,109.19,南 北,2200,3室2厅2卫
整租·海阔水岸花墅 4室2厅 东南,密云镇,226.71,东南,5700,4室2厅3卫
整租·果园西里 2室1厅 南/北,果园街道,63.11,南 北,1700,2室1厅1卫
整租·保利花园C区 3室2厅 南/北,鼓楼街道,133.64,南 北,3200,3室2厅2卫
整租·首创禧悦府 2室2厅 南,鼓楼街道,74.0,南,2300,2室2厅1卫
整租·宾阳北里 2室1厅 南/北,鼓楼街道,64.27,南 北,2200,2室1厅1卫
整租·龙湖长城源著2号院 1室1厅 南,古北口镇,40.73,南,816,1室1厅1卫
整租·康居南区 2室1厅 南/北,果园街道,65.5,南 北,1500,2室1厅1卫
整租·涧桥山 1室1厅 西南,果园街道,57.83,西南,1800,1室1厅1卫
整租·北京恒大上河院一期 3室1厅 南/北,十里堡镇,101.32,南 北,2500,3室1厅1卫
整租·弗农小镇 2室1厅 南/北,溪翁庄镇,74.09,南 北,2500,2室1厅1卫
整租·石桥小区 2室1厅 南/北,鼓楼街道,75.0,南 北,1400,2室1厅1卫
整租·果园新里中区 3室2厅 南,果园街道,115.76,南,2500,3室2厅2卫
整租·檀州家园西区 1室1厅 南,鼓楼街道,63.89,南,1500,1室1厅1卫
整租·福月家园 3室1厅 南/北,鼓楼街道,110.0,南 北,2200,3室1厅1卫
整租·华远澜悦 2房间 南,密云镇,46.39,南,1600,3室2厅1卫
整租·雲北小區 1室1厅 南,鼓楼街道,50.9,南,1600,1室1厅1卫
整租·长安小区 3室2厅 南,鼓楼街道,108.5,南,2000,3室2厅2卫
整租·花园小区 2室1厅 南/北,鼓楼街道,75.8,南 北,1500,2室1厅1卫
整租·101家属区 1室1厅 南/北,鼓楼街道,63.36,南 北,1500,1室1厅1卫
整租·宾阳里小区 3室2厅 南/北,鼓楼街道,100.86,南 北,2000,3室2厅1卫
整租·乐红园 3室2厅 南/北,怀柔,147.32,南 北,2900,3室2厅2卫
整租·潘家园小区 2室1厅 南/北,怀柔,67.0,南 北,2100,2室1厅1卫
整租·怀柔新新家园 2室1厅 东,怀柔,82.57,东,3100,2室1厅1卫
整租·景龙国际 1室1厅 东/西,奥林匹克公园,63.08,东 西,5300,1室1厅1卫
整租·农光东里 2室1厅 东/南/西/北,劲松,76.12,东 南 西 北,4950,2室1厅1卫
整租·复兴路79号院 2室1厅 南/北,五棵松,61.5,南 北,5700,2室1厅1卫
整租·绿湾星苑 3室1厅 南,良乡,89.65,南,4000,3室1厅1卫
整租·集贤雅苑南区 1室1厅 南/北,旧宫,67.0,南 北,3800,1室1厅1卫
整租·保利芳园 1室1厅 南,昌平其它,41.0,南,3400,1室1厅1卫
整租·福海佳园一区 1室1厅 西,高米店,65.0,西,3500,1室1厅1卫
整租·集贤雅苑南区 3室1厅 南/北,旧宫,99.6,南 北,5600,3室1厅1卫
整租·首城汇景湾（梨羊路5号院） 3室2厅 南/北,平谷其它,152.48,南 北,3600,3室2厅2卫
