title,district,area,direction,price,types
整租·真功夫总部大楼 1室1厅 南,金洲,60.0,南,1380,1室1厅1卫
整租·时代天逸 2室2厅 北,黄阁,66.0,北,2500,2室2厅1卫
整租·中交国际邮轮广场 2室1厅 南,南沙港,68.0,南,2300,2室1厅1卫
整租·越秀滨海新城 3室2厅 南,进港大道,97.0,南,2600,3室2厅2卫
整租·中交蓝色海湾 3室2厅 东,南沙港,93.0,东,2100,3室2厅1卫
整租·南沙珠江湾 4室2厅 复式 南,南沙湾,99.0,南,2600,4室2厅2卫
整租·大宏锦绣 2室2厅 南,南沙湾,90.5,南,2000,2室2厅1卫
整租·南沙保利城 4室2厅 南,黄阁,135.0,南,2200,4室2厅2卫
整租·时代南湾 3室2厅 西南/东北,南沙港,140.0,西南 东北,2250,3室2厅2卫
整租·星河壹号公馆 2室2厅 南,金洲,38.0,南,1800,2室2厅1卫
整租·越秀滨海新城 4室2厅 南,进港大道,105.0,南,2150,4室2厅2卫
整租·碧桂园海湾1号 3室2厅 南,南沙港,97.0,南,2300,3室2厅2卫
整租·越秀滨海新城 3室2厅 南/北,进港大道,95.0,南 北,2700,3室2厅2卫
整租·南沙保利南怡湾 4室2厅 南,黄阁,126.0,南,2500,4室2厅2卫
整租·颐德湾尚 4室2厅 南,明珠湾,143.0,南,5600,4室2厅2卫
整租·阳光城悦然府 3室2厅 南,进港大道,84.0,南,2400,3室2厅1卫
整租·南沙金湾 3室2厅 东南/西北,进港大道,69.23,东南 西北,1800,3室2厅1卫
整租·南沙金茂湾 3室2厅 东南,明珠湾,75.0,东南,3800,3室2厅2卫
整租·中国铁建环球中心 2室2厅 南,南沙区府,60.0,南,800,2室2厅2卫
整租·恒大阳光半岛 3室2厅 南,万顷沙,87.0,南,2500,3室2厅1卫
整租·敏捷尚品国际 5室2厅 北,进港大道,93.8,北,3600,5室2厅2卫
整租·南沙大都汇 2室2厅 东南,金洲,70.87,东南,2000,2室2厅2卫
整租·佳兆业凤鸣山 3室2厅 东/南,黄阁,87.0,东 南,2100,3室2厅2卫
整租·领南星河荣誉 3室2厅 南,南沙港,101.0,南,3500,3室2厅2卫
合租·越秀国际总部广场 1居室 北卧,金洲,30.0,北,1780,1室1厅1卫
整租·领南星河荣誉 4室2厅 西南,南沙港,124.0,西南,4000,4室2厅2卫
