title,district,area,direction,price,types
整租·英达大厦 2室1厅 东南,大宁,56.75,东南,5000,2室1厅1卫
整租·天汇世纪玺 2室1厅 南,西藏北路,89.0,南,16500,2室1厅1卫
整租·洛川小区 2室1厅 南,闸北公园,54.74,南,4600,2室1厅1卫
整租·姚西小区 2室1厅 南,曹家渡,50.05,南,7140,2室1厅1卫
整租·腾龙苑 2室2厅 南,阳城,98.13,南,6018,2室2厅1卫
整租·航鹰小区 2室1厅 南,彭浦,49.21,南,3900,2室1厅1卫
整租·虬江路909弄 1室0厅 南,西藏北路,33.25,南,3800,1室0厅1卫
整租·阳光苑民同路10弄40弄 2室1厅 南,曹路,57.3,南,3800,2室1厅1卫
整租·天禧嘉苑二期 1室1厅 南,江桥,60.37,南,3162,1室1厅1卫
整租·高申北苑 2室1厅 南,高行,77.94,南,5400,2室1厅1卫
整租·浦润苑 2室1厅 南/北,闵浦,88.0,南 北,4300,2室1厅1卫
整租·海棠馨苑南区 2室1厅 南,徐泾,67.12,南,3800,2室1厅1卫
整租·乾溪新村 2室1厅 南/北,大场镇,60.0,南 北,3700,2室1厅1卫
整租·芝巷小区 1室1厅 南,长风,40.9,南,4600,1室1厅1卫
整租·甘泉一村 1室1厅 南,甘泉宜川,32.66,南,3296,1室1厅1卫
整租·阳光苑民同路10弄40弄 2室1厅 南,曹路,57.3,南,3800,2室1厅1卫
整租·天禧嘉苑二期 1室1厅 南,江桥,60.37,南,3162,1室1厅1卫
整租·高申北苑 2室1厅 南,高行,77.94,南,5400,2室1厅1卫
整租·浦润苑 2室1厅 南/北,闵浦,88.0,南 北,4300,2室1厅1卫
整租·海棠馨苑南区 2室1厅 南,徐泾,67.12,南,3800,2室1厅1卫
整租·乾溪新村 2室1厅 南/北,大场镇,60.0,南 北,3700,2室1厅1卫
整租·芝巷小区 1室1厅 南,长风,40.9,南,4600,1室1厅1卫
整租·甘泉一村 1室1厅 南,甘泉宜川,32.66,南,3296,1室1厅1卫
整租·世纪新城 2室2厅 南,松江新城,88.92,南,3600,2室2厅1卫
整租·德邑小城(公寓) 2室1厅 南,松江新城,78.36,南,3500,2室1厅1卫
整租·塘和家园登云苑 2室1厅 南,泗泾,67.45,南,2961,2室1厅1卫
整租·同润加州(公寓) 2室1厅 南,莘闵别墅,100.06,南,4200,2室1厅1卫
整租·福都广场锋尚99 1室1厅 北,松江新城,31.0,北,2300,1室1厅1卫
整租·佘北家园紫鹃苑 3室1厅 南,佘山,90.0,南,3300,3室1厅1卫
整租·同润菲诗艾伦 1室1厅 南,泗泾,54.83,南,2856,1室1厅1卫
整租·国亭花苑 3室2厅 南,九亭,114.18,南,4703,3室2厅1卫
整租·新凯城尚樱苑 2室1厅 南,泗泾,74.36,南,3672,2室1厅1卫
整租·贝尚湾(公寓) 2室2厅 南,九亭,92.42,南,6120,2室2厅1卫
整租·润江花苑 1室1厅 南,泗泾,60.45,南,3366,1室1厅1卫
整租·塘和家园·齐康苑 3室1厅 南/北,泗泾,84.0,南 北,3350,3室1厅1卫
整租·奥林匹克花园 2室2厅 南/西南,九亭,83.0,南 西南,5300,2室2厅1卫
整租·金地自在城(二期) 3室2厅 南,泗泾,141.0,南,5880,3室2厅2卫
整租·绿地云峰名邸(公寓) 2室2厅 南,松江大学城,85.0,南,4200,2室2厅1卫
整租·奥林匹克花园 2室2厅 南/北,九亭,84.41,南 北,5145,2室2厅1卫
整租·维罗纳贵都 1室1厅 北,松江老城,32.98,北,1800,1室1厅1卫
整租·同润菲诗艾伦 1室1厅 东,泗泾,55.0,东,3000,1室1厅1卫
整租·塘和家园山茶雅苑 2室1厅 南,洞泾,55.0,南,2940,2室1厅1卫
整租·人乐小区 2室1厅 南/北,松江老城,51.63,南 北,3360,2室1厅1卫
整租·新凯城钟秀苑 2室1厅 南,泗泾,72.81,南,3950,2室1厅1卫
整租·星辰园(公寓) 1室1厅 南,松江大学城,64.0,南,3412,1室1厅1卫
整租·浪琴水岸花园(公寓) 1室1厅 南,松江新城,45.6,南,2400,1室1厅1卫
整租·象屿上海年华2期 3室2厅 南,莘闵别墅,92.05,南,4700,3室2厅1卫
整租·福都广场锋尚99 2室2厅 南,松江新城,53.27,南,3000,2室2厅1卫
整租·奥林匹克花园 3室2厅 南/北,九亭,127.73,南 北,5565,3室2厅2卫
整租·金地玺湾 4室2厅 南,泗泾,126.35,南,7300,4室2厅2卫
整租·茸南苑 3室2厅 南,松江老城,90.0,南,2800,3室2厅1卫
整租·塘和家园海康苑 3室1厅 南,泗泾,84.57,南,3570,3室1厅1卫
整租·万达广场(松江) 1室1厅 南,松江大学城,41.91,南,2470,1室1厅1卫
整租·阳光苑民同路10弄40弄 2室1厅 南,曹路,57.3,南,3800,2室1厅1卫
整租·天禧嘉苑二期 1室1厅 南,江桥,60.37,南,3162,1室1厅1卫
整租·高申北苑 2室1厅 南,高行,77.94,南,5400,2室1厅1卫
整租·浦润苑 2室1厅 南/北,闵浦,88.0,南 北,4300,2室1厅1卫
整租·海棠馨苑南区 2室1厅 南,徐泾,67.12,南,3800,2室1厅1卫
整租·乾溪新村 2室1厅 南/北,大场镇,60.0,南 北,3700,2室1厅1卫
整租·芝巷小区 1室1厅 南,长风,40.9,南,4600,1室1厅1卫
整租·甘泉一村 1室1厅 南,甘泉宜川,32.66,南,3296,1室1厅1卫
整租·文宸花苑 2室2厅 南,崇明新城,86.0,南,2200,2室2厅1卫
整租·裕鸿佳苑(安振路88弄) 3室2厅 南,陈家镇,122.19,南,1800,3室2厅2卫
整租·金珠花苑 2室2厅 南,崇明新城,92.73,南,2300,2室2厅1卫
整租·裕鸿佳苑(裕展路766弄) 2室2厅 南,陈家镇,90.59,南,1900,2室2厅1卫
整租·裕鸿佳苑(安寿路567弄) 1室1厅 南,陈家镇,68.48,南,1700,1室1厅1卫
整租·裕鸿佳苑(安若路58弄) 3室2厅 东南,陈家镇,120.74,东南,1800,3室2厅1卫
整租·明珠花苑(崇明) 2室2厅 南,崇明新城,85.26,南,2100,2室2厅1卫
整租·八一路崇安路住宅小区 2室1厅 南,崇明新城,57.61,南,1150,2室1厅1卫
整租·盛世华苑 1室2厅 南,崇明新城,72.52,南,900,1室2厅1卫
整租·绿地瀛洲名邸 2室2厅 南/北,崇明新城,87.3,南 北,2700,2室2厅1卫
整租·明南佳苑 2室2厅 南,崇明新城,88.72,南,2300,2室2厅1卫
整租·裕鸿佳苑(裕洲路151弄) 2室1厅 南,陈家镇,101.0,南,650,2室1厅1卫
整租·东滩花园 3室2厅 南,陈家镇,193.39,南,3500,3室2厅3卫
整租·裕鸿佳苑(安通路151弄) 3室2厅 南,陈家镇,104.0,南,2000,3室2厅1卫
整租·裕鸿佳苑(安润路637弄) 3室2厅 南/北,陈家镇,114.0,南 北,2050,3室2厅1卫
整租·裕鸿佳苑(安寿路567弄) 2室2厅 南,陈家镇,97.0,南,1800,2室2厅1卫
整租·怡祥居 3室2厅 南,崇明新城,117.59,南,3500,3室2厅1卫
整租·金珠花苑 2室1厅 南,崇明新城,78.96,南,1800,2室1厅1卫
整租·明南佳苑 2室1厅 南,崇明新城,82.55,南,1600,2室1厅1卫
整租·文宸花苑 3室2厅 南,崇明新城,120.1,南,2600,3室2厅3卫
整租·金珠花苑 1室1厅 南,崇明新城,60.45,南,900,1室1厅1卫
整租·裕鸿佳苑(安振路88弄) 1室1厅 南,陈家镇,60.0,南,500,1室1厅1卫
整租·和睦佳苑 2室2厅 南,崇明新城,89.72,南,750,2室2厅1卫
整租·江南滨江苑 2室2厅 南,长兴岛,80.0,南,2400,2室2厅1卫
整租·酱园弄 2室1厅 南,崇明新城,62.18,南,1400,2室1厅1卫
整租·上海十里江湾 3室2厅 南,崇明新城,89.0,南,2300,3室2厅2卫
整租·金日东苑 2室2厅 南/北,崇明新城,83.06,南 北,1900,2室2厅1卫
整租·阳光苑民同路10弄40弄 2室1厅 南,曹路,57.3,南,3800,2室1厅1卫
整租·天禧嘉苑二期 1室1厅 南,江桥,60.37,南,3162,1室1厅1卫
整租·高申北苑 2室1厅 南,高行,77.94,南,5400,2室1厅1卫
整租·浦润苑 2室1厅 南/北,闵浦,88.0,南 北,4300,2室1厅1卫
整租·海棠馨苑南区 2室1厅 南,徐泾,67.12,南,3800,2室1厅1卫
整租·乾溪新村 2室1厅 南/北,大场镇,60.0,南 北,3700,2室1厅1卫
整租·芝巷小区 1室1厅 南,长风,40.9,南,4600,1室1厅1卫
整租·甘泉一村 1室1厅 南,甘泉宜川,32.66,南,3296,1室1厅1卫
整租·书香门第 4室2厅 复式 南,金山新城,183.27,南,4500,4室2厅4卫
整租·石化十村 2室1厅 南/北,金山新城,52.41,南 北,1500,2室1厅1卫
整租·山龙新村 3室2厅 南,金山新城,111.34,南,1700,3室2厅1卫
整租·合生财富海景公馆 3室2厅 南,金山新城,94.6,南,2650,3室2厅2卫
整租·金浦苑 2室2厅 东南/北,金山新城,94.89,东南 北,2000,2室2厅1卫
整租·海棠新村 2室1厅 南,金山新城,51.95,南,1400,2室1厅1卫
整租·海上明珠园 3室2厅 南,金山新城,132.55,南,3000,3室2厅2卫
整租·金山豪庭 3室2厅 南/北,金山新城,118.18,南 北,3000,3室2厅2卫
整租·宝华海湾城 2室1厅 南,金山新城,87.63,南,2800,2室1厅1卫
整租·欣佳宝邸 2室1厅 南/北,闵浦,77.48,南 北,4000,2室1厅1卫
整租·晶杰苑 2室2厅 南/北,古美,84.0,南 北,9000,2室2厅1卫
整租·紫竹半岛花园 3室2厅 南/北,吴泾,96.13,南 北,8000,3室2厅2卫
整租·金铭新水岸 2室2厅 南,莘庄南广场,98.99,南,6500,2室2厅1卫
整租·新梅公寓一期 2室2厅 南,古美,107.38,南,6800,2室2厅2卫
整租·世纪苑 3室2厅 南,梅陇,121.26,南,12900,3室2厅2卫
整租·君莲新城广润苑 2室2厅 南,颛桥,84.69,南,4000,2室2厅1卫
整租·西郊庄园马德里洋房 1室2厅 南,华漕,87.66,南,8500,1室2厅1卫
整租·龙柏三村（东西区） 1室1厅 南,龙柏,42.2,南,5200,1室1厅1卫
整租·申莘三村 3室2厅 南,颛桥,97.54,南,5800,3室2厅1卫
整租·永康城和康苑 2室1厅 南,浦江,78.0,南,3000,2室1厅1卫
整租·水清三村 2室2厅 南/北,莘庄北广场,93.0,南 北,5300,2室2厅1卫
