title,district,area,direction,price,types
整租·卓越蔚蓝铂樾府（普通住宅） 3室2厅 东南,大鹏半岛,85.0,东南,3600,3室2厅1卫
整租·承翰陶柏莉 3室2厅 南,大鹏半岛,72.67,南,2500,3室2厅1卫
整租·承翰陶柏莉 3室2厅 南,大鹏半岛,72.0,南,2600,3室2厅1卫
整租·海语山林 2室2厅 南,大鹏半岛,70.25,南,2800,2室2厅1卫
整租·卓越蔚蓝铂樾府（普通住宅） 3室2厅 西南,大鹏半岛,95.0,西南,3600,3室2厅2卫
整租·承翰陶柏莉 2室2厅 南,大鹏半岛,72.0,南,2600,2室2厅1卫
整租·御海湾山庄 5室2厅 南,大鹏半岛,278.55,南,9000,5室2厅4卫
整租·金众云山栖 4室2厅 南/北,大鹏半岛,87.32,南 北,3300,4室2厅2卫
整租·金众云山栖 2室1厅 东南,大鹏半岛,61.68,东南,2500,2室1厅1卫
整租·花样年家天下 3室2厅 东南,大鹏半岛,94.0,东南,3600,3室2厅2卫
整租·承翰半山海 1室1厅 东南,大鹏半岛,37.0,东南,1900,1室1厅1卫
整租·金众云山栖 3室2厅 南,大鹏半岛,82.58,南,3400,3室2厅1卫
整租·花样年家天下 3室2厅 东南,大鹏半岛,97.0,东南,3800,3室2厅2卫
整租·KPR佳兆业广场 1室1厅 东南,大鹏半岛,57.0,东南,2300,1室1厅1卫
整租·KPR佳兆业广场 3室1厅 西南,大鹏半岛,111.0,西南,3800,3室1厅1卫
整租·花样年家天下 3室2厅 东南,大鹏半岛,95.0,东南,3500,3室2厅2卫
整租·PURE33璞岸 3室2厅 跃层 南,大鹏半岛,86.67,南,3600,3室2厅2卫
整租·承翰半山海 1室1厅 南,大鹏半岛,36.35,南,1800,1室1厅1卫
整租·三科麓湾 3室2厅 复式 南,大鹏半岛,76.0,南,3500,3室2厅1卫
整租·承翰半山海 1室1厅 东南,大鹏半岛,36.35,东南,1800,1室1厅1卫
整租·承翰半山海 1室1厅 西北,大鹏半岛,36.0,西北,1800,1室1厅1卫
整租·卓越蔚蓝铂樾府（普通住宅） 3室2厅 南,大鹏半岛,95.0,南,3800,3室2厅2卫
整租·承翰半山海 3室2厅 跃层 南,大鹏半岛,89.0,南,4500,3室2厅2卫
整租·承翰陶柏莉二期 5室2厅 南/北,大鹏半岛,132.62,南 北,5000,5室2厅2卫
整租·金众云山栖 3室2厅 西北,大鹏半岛,65.0,西北,3000,3室2厅1卫
整租·东丽观海山庄 6室3厅 复式 东南,大鹏半岛,301.99,东南,12800,6室3厅4卫
整租·海语山林 3室2厅 南,大鹏半岛,89.0,南,3000,3室2厅2卫
整租·承翰陶柏莉 3室2厅 西南,大鹏半岛,88.45,西南,3500,3室2厅2卫
