title,district,area,direction,price,types
整租·亚星江南小镇 1室1厅 北,上街区,58.0,北,650,1室1厅1卫
整租·理想名城 1室0厅 南,上街区,33.86,南,600,1室0厅1卫
整租·亚星江南小镇 2室2厅 西北,上街区,93.14,西北,1200,2室2厅1卫
整租·亚星江南小镇 3室2厅 南/北,上街区,135.0,南 北,1350,3室2厅2卫
整租·森海城正阳门 3室2厅 南/北,上街区,101.71,南 北,800,3室2厅1卫
整租·德宝幸福里 2室2厅 南,上街区,93.0,南,900,2室2厅1卫
整租·亚星江南小镇 1室1厅 北,上街区,46.0,北,750,1室1厅1卫
整租·寨沟新区 2室2厅 东,上街区,91.0,东,750,2室2厅1卫
整租·十二街坊 2室2厅 南,上街区,97.0,南,800,2室2厅1卫
整租·德宝城墅 2室2厅 西,上街区,81.4,西,860,2室2厅1卫
整租·亚星江南小镇 3室2厅 西北,上街区,114.0,西北,900,3室2厅1卫
整租·亚星江南小镇 1室1厅 东北,上街区,58.0,东北,650,1室1厅1卫
整租·德宝幸福里 2室2厅 南,上街区,87.0,南,800,2室2厅1卫
整租·鸿盛新城 3室2厅 南,上街区,138.0,南,1100,3室2厅2卫
整租·上尚品 3室2厅 西南,上街区,108.0,西南,600,3室2厅1卫
整租·豫翠园 3室2厅 南/北,上街区,115.0,南 北,1000,3室2厅1卫
整租·亚星江南小镇 3室1厅 西北,上街区,114.0,西北,900,3室1厅1卫
整租·亚星江南小镇 1室1厅 北,上街区,48.0,北,850,1室1厅1卫
整租·新安东路132号院 2室2厅 南,上街区,93.0,南,650,2室2厅1卫
整租·亚星江南小镇 4室2厅 东/东南,上街区,371.0,东 东南,1700,4室2厅2卫
整租·亚星江南小镇 3室2厅 跃层 东南,上街区,177.0,东南,1000,3室2厅2卫
整租·德宝城墅 2室2厅 南,上街区,82.54,南,1200,2室2厅1卫
整租·正兴翡翠城一期 2室1厅 东南,上街区,78.87,东南,870,2室1厅1卫
整租·和昌都汇广场 2室2厅 南,上街区,90.0,南,900,2室2厅1卫
整租·科罗蒂 2室2厅 南,上街区,83.59,南,1500,2室2厅1卫
整租·建业森林半岛 1室1厅 南,上街区,60.5,南,650,1室1厅1卫
整租·亚星江南小镇 1室1厅 北,上街区,51.58,北,800,1室1厅1卫
整租·理想名家 1室1厅 南,上街区,31.64,南,600,1室1厅1卫
整租·旭晨林溪郡 3室2厅 南,上街区,118.0,南,1300,3室2厅2卫
整租·和昌都汇广场 1室1厅 北,上街区,40.0,北,650,1室1厅1卫
整租·德鸿现代城 1室0厅 东,上街区,44.0,东,700,1室0厅1卫
整租·和昌都汇广场 1室1厅 南/北,上街区,46.0,南 北,700,1室1厅1卫
整租·和昌都汇广场 2室2厅 南,上街区,86.96,南,600,2室2厅1卫
整租·亚星江南小镇 3室2厅 东北,上街区,116.0,东北,1280,3室2厅2卫
整租·亚星江南小镇 3室2厅 南,上街区,99.68,南,1200,3室2厅1卫
整租·和昌都汇广场 1室1厅 北,上街区,48.0,北,700,1室1厅1卫
整租·正商智慧城颖园 3室2厅 南,南龙湖商圈,109.0,南,1300,3室2厅1卫
整租·锦荣广场 2室1厅 南,航空港商圈,46.13,南,1500,2室1厅1卫
整租·鼎天东尚 3室2厅 南/北,龙子湖,90.0,南 北,2200,3室2厅1卫
整租·正弘数码公寓 2室1厅 南,文博广场,70.0,南,1400,2室1厅1卫
整租·教工花苑 3室2厅 南,龙子湖,125.0,南,2200,3室2厅1卫
整租·升龙凤凰城D区 2室1厅 北,东建材,63.0,北,2000,2室1厅1卫
整租·航院家属院 2室1厅 南/北,古玩城,55.0,南 北,900,2室1厅1卫
整租·正商汇景公寓 2室1厅 复式 南,蓝钻商圈,44.02,南,1800,2室1厅1卫
整租·文化路428号 3室1厅 南/北,新郑城区,83.0,南 北,750,3室1厅1卫
整租·毛园街一巷 3室2厅 南/北,新郑城区,120.0,南 北,600,3室2厅1卫
整租·润基花悦城 2室1厅 北,新郑城区,60.0,北,1100,2室1厅1卫
整租·悦府海棠北区 2室1厅 南,南龙湖商圈,88.0,南,1200,2室1厅1卫
整租·苟郑社区 2室2厅 南,新郑城区,93.0,南,1000,2室2厅1卫
整租·华南城中园一组团 3室2厅 南,南龙湖商圈,114.0,南,1600,3室2厅2卫
整租·龙泊小时代 1室1厅 南,南龙湖商圈,40.0,南,1200,1室1厅1卫
整租·浩创梧桐郡E区-2 3室2厅 南,南龙湖商圈,61.0,南,1500,3室2厅2卫
整租·锦艺SOHO 2室1厅 东,南龙湖商圈,48.0,东,1600,2室1厅1卫
整租·维也纳湖畔 3室1厅 南,南龙湖商圈,95.5,南,1500,3室1厅1卫
整租·绿都兰亭雅叙 3室2厅 南,南龙湖商圈,141.0,南,1100,3室2厅2卫
整租·永丰乐城公园里 3室2厅 南,南龙湖商圈,123.0,南,1500,3室2厅2卫
整租·佳兆业悦峰一期 3室2厅 南,新郑城区,99.0,南,1500,3室2厅1卫
整租·绿都丹石街区 2室2厅 南,南龙湖商圈,78.0,南,1000,2室2厅1卫
整租·米克公寓 1室0厅 北,新郑城区,68.0,北,1000,1室0厅1卫
整租·观澜郡 3室2厅 南/北,南龙湖商圈,91.0,南 北,900,3室2厅1卫
整租·邦友创世小区 3室2厅 南,南龙湖商圈,138.0,南,1300,3室2厅1卫
整租·龙湖御景 2室2厅 南,南龙湖商圈,80.0,南,1000,2室2厅1卫
整租·龙湖锦艺城高二组团 3室2厅 南,南龙湖商圈,89.0,南,1200,3室2厅1卫
整租·万通花园 3室2厅 南/北,荥阳城区,125.0,南 北,650,3室2厅1卫
整租·大溪地十号院 3室2厅 南/北,荥阳城区,109.0,南 北,1100,3室2厅1卫
整租·大溪地十号院 2室2厅 东南,荥阳城区,88.0,东南,1100,2室2厅1卫
整租·石寨安置小区 3室2厅 南,荥阳城区,137.0,南,700,3室2厅1卫
整租·世界观 3室2厅 南/北,荥阳城区,123.0,南 北,1050,3室2厅1卫
整租·金地格林小城三期 3室2厅 南,荥阳城区,89.34,南,1200,3室2厅1卫
整租·鑫公寓 1室1厅 东,荥阳城区,42.0,东,800,1室1厅1卫
整租·郑西鑫苑名家北院 3室2厅 南,荥阳城区,100.0,南,1300,3室2厅1卫
整租·瀚宇天悦湾7号院 3室2厅 南,荥阳城区,112.0,南,1200,3室2厅1卫
整租·瀚宇天悦湾7号院 3室2厅 南,荥阳城区,100.0,南,1200,3室2厅1卫
整租·瀚宇天悦湾1号院 2室2厅 南/北,荥阳城区,88.0,南 北,1150,2室2厅1卫
整租·瀚宇天悦湾1号院 2室1厅 南,荥阳城区,90.0,南,800,2室1厅1卫
整租·鑫公寓 1室1厅 东,荥阳城区,42.0,东,800,1室1厅1卫
整租·瀚宇天悦湾1号院 2室2厅 南,荥阳城区,90.0,南,900,2室2厅1卫
整租·瀚宇天悦湾1号院 4室2厅 南,荥阳城区,135.0,南,1900,4室2厅2卫
整租·光明索河湾一期 3室2厅 南/西/北,荥阳城区,125.0,南 西 北,2000,3室2厅2卫
整租·太和村 3室2厅 南,荥阳城区,140.0,南,1200,3室2厅2卫
整租·索滨阳光苑 3室2厅 南,荥阳城区,100.0,南,700,3室2厅1卫
整租·瀚宇天悦湾2号院 3室2厅 南/北,荥阳城区,130.0,南 北,1300,3室2厅2卫
整租·建海绿荫半岛 3室2厅 南,荥阳城区,127.31,南,1400,3室2厅2卫
整租·瀚宇天悦湾1号院 2室2厅 南,荥阳城区,90.0,南,1300,2室2厅1卫
整租·建海绿荫半岛 3室2厅 南,荥阳城区,83.71,南,1000,3室2厅1卫
整租·新城尚郡 3室2厅 南,荥阳城区,127.11,南,1600,3室2厅2卫
整租·荥阳吾悦广场 1室1厅 南,荥阳城区,40.0,南,1300,1室1厅1卫
整租·谊阁花园 3室1厅 跃层 南,荥阳城区,171.63,南,900,3室1厅2卫
整租·金茂如意府 4室2厅 南,北龙湖,185.0,南,14000,4室2厅3卫
整租·绿地之窗尚峰座 3室1厅 南,郑州东站,107.0,南,6800,3室1厅0卫
整租·绿地之窗景峰座 4室1厅 南,郑州东站,202.31,南,11700,4室1厅0卫
整租·新芒果大厦 8室1厅 南/北,CBD,400.0,南 北,15600,8室1厅0卫
整租·康平苑 4室2厅 南/北,郑州东站,177.0,南 北,5500,4室2厅1卫
整租·财信圣堤亚纳小区 3室2厅 南/西,黄河南路,139.0,南 西,3500,3室2厅2卫
整租·美之域 2室2厅 南,黄河南路,87.0,南,2300,2室2厅1卫
整租·红星蚂蚁SOHO 1室1厅 东,通泰路,48.0,东,1300,1室1厅1卫
整租·永和龙子湖广场 1室0厅 东北,龙子湖,116.0,东北,5000,1室0厅1卫
整租·鑫苑中央花园 4室2厅 南/北,通泰路,157.0,南 北,4200,4室2厅2卫
整租·中晟新天地 1室1厅 南,郑州东站,41.0,南,1850,1室1厅1卫
整租·财信圣堤亚纳小区 3室2厅 南/北,黄河南路,122.0,南 北,3500,3室2厅2卫
整租·鑫苑世纪东城西苑 2室2厅 南,商业中心,83.89,南,2400,2室2厅1卫
整租·万科福晟万科誉 1室1厅 东,郑州东站,31.0,东,2200,1室1厅1卫
整租·易元国际 3室1厅 北,郑州东站,115.0,北,5500,3室1厅0卫
整租·易元国际 3室1厅 南,郑州东站,119.0,南,5600,3室1厅0卫
整租·易元国际 3室1厅 北,郑州东站,115.0,北,5500,3室1厅0卫
整租·易元国际 3室1厅 南/北,郑州东站,119.0,南 北,5500,3室1厅0卫
整租·易元国际 3室1厅 南,郑州东站,119.0,南,5600,3室1厅0卫
整租·易元国际 3室1厅 北,郑州东站,115.0,北,6500,3室1厅0卫
整租·建业天筑 2室1厅 南,郑州东站,91.0,南,5900,2室1厅1卫
整租·永威东棠 2室2厅 南,黄河南路,90.0,南,4800,2室2厅1卫
整租·绿地双子塔 5室1厅 西南,郑州东站,452.83,西南,20660,5室1厅0卫
整租·正弘山 5室3厅 南/北,通泰路,240.0,南 北,6000,5室3厅2卫
整租·东方港湾 1室1厅 北,郑州东站,41.0,北,1900,1室1厅1卫
整租·东方港湾 1室1厅 北,郑州东站,40.0,北,1600,1室1厅1卫
整租·正弘山 3室2厅 南/北,通泰路,135.0,南 北,3000,3室2厅2卫
整租·中力七里湾 2室2厅 南/北,通泰路,97.0,南 北,2500,2室2厅1卫
整租·云悦公馆 1室1厅 南,郑州东站,42.0,南,1550,1室1厅1卫
整租·煤建大厦 5室1厅 东南/南/西南,祭城,182.0,东南 南 西南,7000,5室1厅2卫
整租·和昌优地 3室2厅 南/北,普罗旺世,114.0,南 北,2500,3室2厅2卫
整租·山顶御鑫城 3室2厅 南,北站,128.0,南,2500,3室2厅2卫
整租·瑞穗苑 1室0厅 东,普罗旺世,36.0,东,800,1室0厅1卫
